ticker,date,avg_sentiment,article_count
JPM,2026-04-24,0.1062,100
LLY,2026-04-24,0.0981,100
V,2026-04-24,0.0731,47
JNJ,2026-04-24,0.1652,100
MU,2026-04-24,-0.0654,100
ORCL,2026-04-24,-0.0078,100
MA,2026-04-24,0.1,76
AMD,2026-04-24,0.0808,92
COST,2026-04-24,0.1147,100
NFLX,2026-04-24,0.0035,100
BAC,2026-04-24,0.108,100
CAT,2026-04-24,0.0376,100
ABBV,2026-04-24,0.0481,100
CVX,2026-04-24,0.0256,100
PLTR,2026-04-24,0.0577,100
HD,2026-04-24,0.0774,100
INTC,2026-04-24,0.1228,92
PG,2026-04-24,0.0679,100
CSCO,2026-04-24,0.0979,100
LRCX,2026-04-24,0.1566,100
KO,2026-04-24,0.1548,93
GE,2026-04-24,0.0799,100
AMAT,2026-04-24,0.0799,100
MS,2026-04-24,0.0355,75
UNH,2026-04-24,0.1713,100
MRK,2026-04-24,0.0857,100
GS,2026-04-24,0.1204,100
GEV,2026-04-24,0.1133,100
RTX,2026-04-24,0.085,100
AAPL,2026-04-25,0.0284,100
XOM,2026-04-25,0.0829,100
TSLA,2026-04-25,0.0015,100
MSFT,2026-04-25,0.0556,100
NVDA,2026-04-25,0.0118,92
AMZN,2026-04-25,0.1918,102
GOOGL,2026-04-25,0.0987,100
AVGO,2026-04-25,0.0854,100
BRK-B,2026-04-25,0.0841,100
WMT,2026-04-25,0.0816,100
JPM,2026-04-25,0.0753,100
LLY,2026-04-25,0.066,100
V,2026-04-25,0.0506,50
JNJ,2026-04-25,0.1573,100
MU,2026-04-25,-0.0718,93
ORCL,2026-04-25,0.0083,100
MA,2026-04-25,0.0789,82
AMD,2026-04-25,0.0955,92
COST,2026-04-25,0.1435,100
NFLX,2026-04-25,0.0362,100
BAC,2026-04-25,0.0983,100
CAT,2026-04-25,0.027,100
ABBV,2026-04-25,0.0419,100
CVX,2026-04-25,0.035,100
PLTR,2026-04-25,0.0612,100
HD,2026-04-25,0.0712,100
INTC,2026-04-25,0.0925,100
PG,2026-04-25,0.0648,100
CSCO,2026-04-25,0.0751,100
LRCX,2026-04-25,0.152,100
KO,2026-04-25,0.1498,95
GE,2026-04-25,0.0573,100
AMAT,2026-04-25,0.0924,100
MS,2026-04-25,0.0336,81
UNH,2026-04-25,0.1231,100
MRK,2026-04-25,0.112,100
GS,2026-04-25,0.106,100
GEV,2026-04-25,0.1439,100
RTX,2026-04-25,0.0954,100
